timestamp,session_id,src_ip,src_port,dst_ip,host,url,user_agent,response_size,status_code,status_message,unknown10
1554220384,CVI3342IEddJqspMdi,192.168.1.190,34263,117.18.237.29,au.download.windowsupdate.com,/c/msdownload/update/software/secu/2019/02/windows10.0-kb4483452-x64_f58d9b9ff95e2b686c4bc7666dbc45aadd151b0c.cab,Microsoft-Delivery-Optimization/10.0,471,200,OK,Fhg1rg2o0XhVIneP3
1554225482,C41sSq1e3WCzqgqJA7,192.168.1.195,50058,192.168.1.1,192.168.1.1,/no_nonce_string/,DAFUPnP,1806,200,OK,FPMup1piFlLxITI2l
1554225482,C41sSq1e3WCzqgqJA7,192.168.1.195,50058,192.168.1.1,192.168.1.1,/no_nonce_string/,Microsoft-Windows/10.0 UPnP/1.0,1806,200,OK,FUxTLVzlzd3qPXa2k
1554225482,CFJcsF39arAhJbS1D3,192.168.1.195,50060,192.168.1.1,192.168.1.1,/no_nonce_string/ContentDirectory/scpd.xml,Microsoft-Windows/10.0 UPnP/1.0,3602,200,OK,FQeVjJ1BRnLZ2oith2
1554225483,CLMVM52OAFWWoIvoQi,192.168.1.195,50061,192.168.1.1,192.168.1.1,/no_nonce_string/,DAFUPnP,1806,200,OK,FNbbMM1tQ5AA6nZWy7
1554225484,C7F3M33zJgDrg5dIJe,192.168.1.195,50062,192.168.1.1,192.168.1.1,/no_nonce_string/ContentDirectory/scpd.xml,Microsoft-Windows/10.0 UPnP/1.0,3602,200,OK,Ffkv273DkLtW21TZue
1554225483,CLMVM52OAFWWoIvoQi,192.168.1.195,50061,192.168.1.1,192.168.1.1,/no_nonce_string/,Microsoft-Windows/10.0 UPnP/1.0,0,206,Partial Content,FNbbMM1tQ5AA6nZWy7
1554226468,CFKhnU1jlwSBzJYWLe,192.168.1.195,50118,149.135.82.89,emdl.ws.microsoft.com,/emdl/d/dod/ph/prod6/msdownload/update/software/defu/2019/02/1024/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe.json,Microsoft-Delivery-Optimization/10.0,502,200,OK,FtKQGN1cJ0fEpGEcgc
1554226469,C996pUIAazeTUzaf7,192.168.1.195,50120,192.229.232.240,11.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,2,206,Partial Content,FmvIhr4Q3W0jpkwjnh
1554226469,Ckcva04CkfmB0Yksu4,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50121,2606:2800:147:120f:30c:1ba0:fc6:3000,11.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,2,206,Partial Content,Fz2u2QMBuYp5v6nM3
1554226469,C996pUIAazeTUzaf7,192.168.1.195,50120,192.229.232.240,11.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,195243,206,Partial Content,FHJSQ037k1VOyWhVhc
1554226469,CKhmwi3akxTqnZgCe,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50122,2600:1415:11::b854:a573,2.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,2,206,Partial Content,FTeyT4grhC8HNzRmg
1554226469,Cqen8P21ZVcoJc7FK3,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50123,2600:1415:11::b854:a561,2.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,2,206,Partial Content,FTeyT4grhC8HNzRmg
1554226470,CKhmwi3akxTqnZgCe,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50122,2600:1415:11::b854:a573,2.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,0,206,Partial Content,FHJSQ037k1VOyWhVhc
1554226470,Cqen8P21ZVcoJc7FK3,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50123,2600:1415:11::b854:a561,2.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,1048576,206,Partial Content,FHJSQ037k1VOyWhVhc
1554226471,Cqen8P21ZVcoJc7FK3,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50123,2600:1415:11::b854:a561,2.au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,0,206,Partial Content,FHJSQ037k1VOyWhVhc
1554226471,ChM2ng1DE8gMprN4g5,2405:6e00:10ce:2c00:9064:17:85d2:57d4,50131,2a01:111:2003::50,au.download.windowsupdate.com,/d/msdownload/update/software/defu/2019/02/updateplatform_23725566d66a26c81fbfaf79701b727f92a650ea.exe,Microsoft-Delivery-Optimization/10.0,2,206,Partial Content,F2d4nK2Z3Zo0QlUO3a
